ticker	rank	held	structure	structure_shift	sma_distance_pct	atr_14d	atr_caution	day_vol	mp_state	mp_accel_state	lens	entry	bracket.stop	bracket.stop_type	bracket.valid	bracket.risk_pct	squeeze_breakout_state	was_squeezed	squeeze_breakout_volume_confirmed	elder_pattern	div_state	div_bear_count	bracket.atr_fallback_stop	bracket.invalid_reason
GOLD	69	True	94.7	ABOVE_STRUCTURE	9.96	1.95	False	1.44	BUILDING	null	"{""leadership"": ""--"", ""coil"": ""--"", ""insti_money"": ""--"", ""structure"": ""ok"", ""resistance"": ""--"", ""extension"": null, ""sector"": ""ok""}"	46.21	null	null	False	null	null	null	null	CORRECTION_REENTRY	null	null	44.26	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
DVN	137	False	71.6	ABOVE_STRUCTURE	11.91	1.3	False	0.81	FADING	ACCELERATING	"{""leadership"": ""strong"", ""coil"": ""warn"", ""insti_money"": ""warn"", ""structure"": ""ok"", ""resistance"": ""strong"", ""extension"": null, ""sector"": ""strong""}"	49.1	null	null	False	null	NONE	False	False	SUSTAINED	BULLISH	0	47.8	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
DUOL	33	False	76.8	BULLISH_BOS	12.08	8.38	False	0.47	BUILDING	ACCELERATING	"{""leadership"": ""warn"", ""coil"": ""strong"", ""insti_money"": ""ok"", ""structure"": ""strong"", ""resistance"": ""warn"", ""extension"": null, ""sector"": ""strong""}"	146.13	null	null	False	null	NONE	True	False	ACCELERATION	BULLISH	0	137.75	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
APLE	165	False	49.5	RANGE	1.15	0.35	False	0.96	BUILDING	ACCELERATING	"{""leadership"": ""strong"", ""coil"": ""ok"", ""insti_money"": ""strong"", ""structure"": ""ok"", ""resistance"": ""ok"", ""extension"": null, ""sector"": ""ok""}"	16.67	null	null	False	null	NONE	False	False	ACCELERATION	BEARISH	5	16.32	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
PGR	175	False	51.6	BULLISH_BOS	1.99	5.4	False	0.74	BUILDING	ACCELERATING	"{""leadership"": ""ok"", ""coil"": ""strong"", ""insti_money"": ""warn"", ""structure"": ""strong"", ""resistance"": ""warn"", ""extension"": null, ""sector"": ""warn""}"	219.28	213.24	ma_cluster	True	2.75	NONE	False	False	ACCELERATION	NONE	0	213.88	null
NU	169	False	51.4	RANGE	6.18	0.63	False	0.98	BUILDING	DECELERATING	"{""leadership"": ""strong"", ""coil"": ""strong"", ""insti_money"": ""warn"", ""structure"": ""ok"", ""resistance"": ""warn"", ""extension"": null, ""sector"": ""warn""}"	14.58	null	null	False	null	NONE	True	False	CORRECTION_REENTRY	BEARISH	1	13.95	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
NWS	23	False	77.9	RANGE	11.1	0.93	False	0.77	STRONG	ACCELERATING	"{""leadership"": ""ok"", ""coil"": ""ok"", ""insti_money"": ""strong"", ""structure"": ""ok"", ""resistance"": ""ok"", ""extension"": null, ""sector"": ""strong""}"	34.55	null	null	False	null	NONE	False	False	ACCELERATION	BEARISH	2	33.62	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
CCJ	155	False	53.7	RANGE	6.62	3.94	False	1.33	BUILDING	DECELERATING	"{""leadership"": ""warn"", ""coil"": ""ok"", ""insti_money"": ""strong"", ""structure"": ""ok"", ""resistance"": ""warn"", ""extension"": null, ""sector"": ""strong""}"	102.51	96.14	ma50	True	6.21	NONE	False	False	INTERRUPTED	NONE	0	98.57	null
TMUS	174	False	62.1	BEARISH_CHOCH	0.72	5.43	False	0.86	BUILDING	ACCELERATING	"{""leadership"": ""warn"", ""coil"": ""strong"", ""insti_money"": ""warn"", ""structure"": ""warn"", ""resistance"": ""warn"", ""extension"": null, ""sector"": ""strong""}"	183.04	null	null	False	null	NONE	True	False	CORRECTION_REENTRY	BULLISH	0	177.61	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
SHEL	158	False	68.4	BULLISH_BOS	9.32	1.51	False	0.55	FADING	FLAT	"{""leadership"": ""strong"", ""coil"": ""strong"", ""insti_money"": ""ok"", ""structure"": ""strong"", ""resistance"": ""strong"", ""extension"": null, ""sector"": ""strong""}"	93.33	null	null	False	null	NONE	False	False	null	NONE	0	91.81	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
ABT	75	False	84.2	ABOVE_STRUCTURE	16.71	2.65	False	1.17	FADING	DECELERATING	"{""leadership"": ""warn"", ""coil"": ""ok"", ""insti_money"": ""warn"", ""structure"": ""ok"", ""resistance"": ""strong"", ""extension"": null, ""sector"": ""strong""}"	116.64	null	null	False	null	NONE	False	False	CORRECTION_REENTRY	NONE	0	113.99	no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
