# DICT bracket.invalid_reason: 1=no valid bracket — no structural resistance above price; 2=no valid bracket — no structural support passes the 3 gates (atr≥1.0, rr≥2.0, risk%≤regime ceiling)
# DICT bracket.stop_type: 1=fib_618; 2=fib_786; 3=ma100; 4=ma20; 5=ma50; 6=swing_low; 7=swing_low_1; 8=swing_low_2; 9=swing_low_3
# DICT gics_sector_name: 1=Communication Services; 2=Consumer Discretionary; 3=Consumer Staples; 4=Energy; 5=Financials; 6=Healthcare; 7=Industrials; 8=Materials; 9=Real Estate; 10=Technology; 11=Utilities
# DICT mp_accel_state: 1=ACCELERATING; 2=DECELERATING; 3=FLAT
# DICT mp_state: 1=BUILDING; 2=FADING; 3=STRONG
# DICT next_earnings_date: 1=2026-09-08; 2=2026-09-10; 3=2026-09-11; 4=2026-09-29; 5=2026-09-30; 6=2026-10-05; 7=2026-10-13; 8=2026-10-14; 9=2026-10-15; 10=2026-10-16; 11=2026-10-19; 12=2026-10-20; 13=2026-10-21; 14=2026-11-05; 15=2026-11-06; 16=2026-11-09; 17=2026-11-10; 18=2026-11-12; 19=2026-11-13; 20=2026-11-17; 21=2026-11-18; 22=2026-11-19; 23=2026-11-24; 24=2026-12-01; 25=2026-12-02; 26=2026-12-03
# DICT sector_trend_state: 1=Declining — Avoid; 2=Momentum Building — Add; 3=Momentum Fading — Hold, Don't Add; 4=Recovering From Weakness — Watch for Entry
# DICT structure_shift: 1=ABOVE_STRUCTURE; 2=BEARISH_CHOCH; 3=BULLISH_BOS; 4=RANGE
ticker	rank	held	gics_sector	gics_sector_name	sector_trend_state	structure	structure_shift	sma_distance_pct	atr_14d	day_vol	mp_state	mp_accel_state	entry	bracket.stop	bracket.stop_type	bracket.valid	bracket.risk_pct	bracket.atr_fallback_stop	bracket.invalid_reason	high_52w	pct_from_52w_high	pivot_high	pct_from_pivot	rs_rank_pct	next_earnings_date
BSBR	64	False	XLF	5	3	82.1	3	7.84	0.13	1.43	1	2	5.96	5.82	2	True	2.35	5.83	null	7.2	-17.22	5.91	0.85	30.38	null
MS	106	False	XLF	5	3	43.2	4	0.99	4.96	0.8	1	2	217.72	null	null	False	null	212.76	2	228.55	-4.74	222.0	-1.93	81.43	8
VRT	94	False	XLI	7	4	35.6	1	-0.77	14.05	0.83	1	2	280.53	null	null	False	null	266.47	2	376.23	-25.44	274.76	2.1	60.02	null
BUD	104	False	XLP	3	1	38.9	4	-0.74	1.34	1.59	1	1	80.35	78.44	6	True	2.38	79.01	null	86.48	-7.09	86.6	-7.22	48.03	null
ITUB	89	False	XLF	5	3	60.0	4	1.69	0.22	0.72	1	1	8.15	null	null	False	null	7.93	2	9.57	-14.84	8.57	-4.9	31.73	null
WRB	125	False	XLF	5	3	30.5	4	-2.73	1.25	1.12	2	1	69.14	null	null	False	null	67.89	2	78.46	-11.88	71.38	-3.14	29.58	11
C	85	False	XLF	5	3	49.5	4	1.8	2.97	0.68	1	1	137.72	null	null	False	null	134.75	2	145.67	-5.46	140.88	-2.24	77.0	7
APH	87	False	XLK	10	2	54.7	4	2.81	2.87	0.51	1	2	82.78	null	null	False	null	79.91	2	88.16	-6.1	88.17	-6.11	73.19	null
HOG	42	False	XLY	2	4	85.3	4	7.25	0.97	0.73	1	2	28.3	null	null	False	null	27.33	2	31.03	-8.8	28.65	-1.22	87.95	null
WMT	120	False	XLP	3	1	34.7	2	-3.38	2.54	0.74	1	1	107.14	102.15	7	True	4.66	104.6	null	134.2	-20.16	116.87	-8.33	11.32	22
ADM	36	False	XLP	3	1	63.2	3	4.49	2.61	0.66	1	1	84.61	null	null	False	null	82.0	2	87.32	-3.1	83.84	0.92	73.06	null
KR	53	False	XLP	3	1	43.2	null	1.54	1.36	0.66	1	1	58.59	null	null	False	null	57.23	2	75.6	-22.5	59.2	-1.03	5.41	3
RSI	117	False	XLY	2	4	42.1	2	-7.37	1.14	0.59	1	1	26.68	null	null	False	null	25.54	2	34.52	-22.71	27.23	-2.02	75.65	null
CEG	13	False	XLU	11	4	73.7	1	12.21	10.14	1.19	1	null	298.96	287.96	2	True	3.68	288.81	null	403.95	-25.99	287.0	4.17	20.54	16
KMX	50	False	XLY	2	4	69.5	4	9.47	1.8	0.7	1	1	63.29	null	null	False	null	61.49	2	64.22	-1.45	65.28	-3.05	88.44	4
OKTA	20	False	XLK	10	2	68.2	4	16.9	8.98	0.6	1	1	170.6	null	null	False	null	161.62	2	173.04	-1.41	174.85	-2.43	97.17	24
SLDE	4	False	XLF	5	3	82.1	1	15.09	0.72	1.26	3	null	24.67	null	null	False	null	23.95	2	24.73	-0.24	23.75	3.87	79.7	null
NTR	2	False	XLB	8	1	87.4	1	15.17	2.15	1.01	3	1	79.47	null	null	False	null	77.31	2	83.94	-5.33	76.11	4.41	39.85	null
TFC	118	False	XLF	5	3	43.2	4	0.23	0.95	0.81	1	1	51.65	null	null	False	null	50.7	2	55.81	-7.45	53.53	-3.51	51.48	10
TSM	100	False	XLK	10	2	47.4	4	2.02	11.52	1.35	1	2	428.91	null	null	False	null	417.39	2	477.57	-10.19	429.64	-0.17	74.54	9
IBM	119	False	XLK	10	2	44.2	4	-2.68	6.58	0.76	1	2	234.89	null	null	False	null	228.31	2	329.23	-28.65	240.81	-2.46	15.87	13
LNC	81	False	XLF	5	3	63.2	4	7.25	1.27	0.92	1	1	45.47	43.9	4	True	3.45	44.2	null	47.0	-3.26	47.67	-4.62	79.95	null
GTX	115	False	XLY	2	4	36.8	2	-7.22	0.96	0.95	1	1	27.97	25.67	7	True	8.22	27.01	null	36.23	-22.8	32.47	-13.86	88.68	null
CRBG	78	False	XLF	5	3	71.6	4	8.02	0.86	0.61	1	2	34.47	null	null	False	null	33.61	2	34.75	-0.81	34.81	-0.98	81.8	null
UMC	97	False	XLK	10	2	54.7	1	-0.71	1.0	0.94	1	1	20.77	19.42	3	True	6.5	19.77	null	28.02	-25.87	19.77	5.06	97.66	null
